repo	sha	label	fp_class	klass	added_loc	base_loc	note
ayutaz/piper-plus	5f2a5a78fde2	TP		partial-edited	src/cpp/spanish_phonemize.cpp tokenize()/phonemize_spanish() vs portuguese_phonemize.cpp		shared tokenizer + public-entry skeleton (Token struct, while(i<n) scan loop, normalize/tokenize/g2pWord/insertStress pipeline) copied across languages then edited (isWord->isPunct member rename, isSpanishAlpha->isWordChar predicate swap); high token overlap, diverged exact lines
ayutaz/piper-plus	5f2a5a78fde2	TP		cross-file-chunk	src/cpp/spanish_phonemize.hpp:1-23 / portuguese_phonemize.hpp / french_phonemize.hpp		6-language G2P phonemizer headers cloned verbatim from one template; only the doc-comment language name and the single phonemize_<lang>() signature differ
b-macker/NAAb	c1d8208d299857959d16b8783623430c8f66b6d6	FP	header-impl		include/naab/node_persistent_executor.h,persistent_ruby_executor.h,persistent_shell_executor.h		Three sibling subclass headers of PersistentProcessExecutor each #include the base, open the same naab::runtime namespace, and declare the same NVI override set (wrapCodeForExecution/getSentinel/getStartupCode/getExitCommand[/parseOutput]). The only differing token is the class name. A token detector sees ~20 near-identical lines and flags them, but this is mandatory class-declaration boilerplate for a virtual-override hierarchy — proper dedup (the base class) already happened.
b-macker/NAAb	6062e3501c04bc240d0cb77b3dbec092ee08eb31	FP	other		src/interpreter/call_dispatch.cpp,expressions.cpp,modules.cpp,polyglot.cpp vs src/interpreter/interpreter.cpp		Pure code-MOVE refactor: interpreter.cpp shrinks ~10k lines, 7 new files gain them. numstat shows add=9499/del=9309/net=+190 — bodies were relocated verbatim, not duplicated. A cross-file token detector run over the post-commit tree (or over the diff's added vs deleted hunks) reports the moved methods as cross-file clones, but no duplication exists: the source lines were deleted in the same commit.
b-macker/NAAb	946c7febb979d1e0b49ed17124e98d59061283e6	FP	data-table		src/runtime/governance_engine.cpp:283-355 (HARDCODED_RESULT_PATTERNS_DB)		Static const std::vector<...> initializer of {regex, description} rows. Each row has identical structure ("..." string literal, "..." string literal), so a token detector matching against the sibling pattern DBs in the same file (and other pattern tables) reports a high-overlap clone. It is a declarative data table, not duplicated logic.
b-macker/NAAb	c1d8208d299857959d16b8783623430c8f66b6d6	TP		partial-edited	src/runtime/persistent_shell_executor.cpp:90-150		PersistentShellExecutor::parseOutput copies the value-coercion block (null/bool reps, numeric parse, trailing-newline trim) from base PersistentProcessExecutor::parseOutput (src/runtime/persistent_process_executor.cpp:356-390) then diverges (adds __NAAB_EXIT__ extraction, stoi instead of stod) instead of delegating like NodePersistentExecutor does — same commit, cross-file copy-with-edit
b-macker/NAAb	1dd08e83520b7e4f3c7d190ee6292f74c1f46141	TP		within-file-chunk	src/vm/vm.cpp:511-606		OP_ADD/OP_SUB/OP_MUL/OP_DIV arithmetic opcode handlers are near-identical ~13-line blocks (pop b; pop a; int/double dispatch; runtimeError), only operator+message changed — classic per-opcode copy-paste in new VM
b-macker/NAAb	1dd08e83520b7e4f3c7d190ee6292f74c1f46141	TP		within-file-chunk	src/vm/vm.cpp:654-726		OP_LT/OP_LE/OP_GT/OP_GE comparison handlers are ~17-line near-identical blocks (int / double-coerce / string branches + runtimeError), diverging only in the comparison operator — copy-paste of the same comparison skeleton
beiklive/GBAStation	4e98729fd1f588b7dac47fb201ae12c28e8f7b3c	FP	idiom		src/ui/page/UpdatePage.cpp:120-130 vs 229-236 vs 238-245 vs 254-261		Multiple brls::DetailCell button blocks (cancel / manual / close / install): new brls::DetailCell(); cell->setText(...); cell->registerClickAction([](View*){ ...; popActivity(); return true; }); box->addView(cell). Same DetailCell-builder idiom repeated for each action button; only the captured lambda body and label differ. Detector sees high token overlap on the builder skeleton.
beiklive/GBAStation	4e98729fd1f588b7dac47fb201ae12c28e8f7b3c	FP	data-table		src/ui/page/UpdatePage.cpp:152-181		formatSpeed/formatSize/formatETA family share the cascading-threshold-return shape (if x<A return ...; if x<B return ...; return ...). formatETA in particular looks similar to the byte formatters structurally but encodes a totally different unit ladder (seconds->minutes) with different literals. A structural/token detector can over-match the three as one cluster, but formatETA is independent logic, not copied.
beiklive/GBAStation	03cfe2bb563dca1d0d0095e0203b03275ceba6af	FP	idiom		src/ui/utils/CheatMatcher.cpp:206-215 vs 233-242		Two brls::Button construction blocks (the cancel button in ProgressDialog ctor and the OK button in showResult()): new brls::Button / setText(...) / setWidth(140.f) / registerClickAction([...]{popActivity; return true;}) / m_buttonBox->addView(btn). They are ~7 near-identical lines because the brls UI framework forces this exact build-button idiom; the differing parts (label text, captured this, extra m_onCancel call) are tiny. A token detector at w>=0.79 flags it but there is no copied logic, only a GUI-widget construction idiom.
beiklive/GBAStation	4e98729fd1f588b7dac47fb201ae12c28e8f7b3c	TP		partial-edited	src/ui/page/UpdatePage.cpp:152-173		formatSpeed() copied to formatSize(): identical 1024/1024*1024 ladder + snprintf(buf,"%.1f KB",.../1024.0) structure, only the unit-suffix literals edited (" B/s"->" B", "KB/s"->"KB", "MB/s"->"MB") and the divisor variable type. formatETA below diverges (time formatting) so it is not part of the clone.
beiklive/GBAStation	7ca25cdd86a615db2afd1b31fb117b606b94f76e	TP		within-file-chunk	src/ui/utils/GameMenuView.cpp:630-1012		Three SidePanel setup blocks (m_ShaderSidePanel 630-806, m_OverlaySidePanel 810-896, m_CustomSidePanel 901-1012) each open with the SAME verbatim 10-line brls::Box configuration header (setHideHighlight/setPositionType/setPositionTop/Left/setWidthPercentage/HeightPercentage/setBackgroundColor(0,0,0,60)/setFocusable(false)/setVisibility(GONE)), only the member name differs; bodies diverge (shader params vs overlay path vs custom). Classic copy-paste-and-edit of a panel-builder block.
bobjansen/Ibex	030a73b5b30df0b54d0c792e878df40a0c1d5a35	FP	idiom		src/runtime/interpreter.cpp:8124 (and 28 sibling sites)		The std::holds_alternative<Column<std::int64_t>> / <double> / <bool> / <Date> / <Timestamp> / <Categorical|std::string> variant-type dispatch chain occurs 29 times across this 8000+ line column-engine file. Each occurrence is a near-identical 6-branch if/else-if ladder over the same closed set of column types. A normalized-token detector with low min-token threshold flags every pair as a clone, producing O(29^2) spurious hits.
bobjansen/Ibex	a238ed63ed66712fe9a39a2e91c2821254f523d1	FP	whole-file		src/runtime/join.cpp:1-856 vs prior src/runtime/interpreter.cpp		Same monolith-split pattern: 484 verbatim lines moved from interpreter.cpp into the new join.cpp (commit also adds genuinely new join code, hence 856 added). The moved portion would be reported as a cross-file duplicate of the old interpreter.cpp.
bobjansen/Ibex	a8702efefb38d1762618f122361fc951f1bc74f4	FP	whole-file		src/runtime/model.cpp:1-646 vs prior src/runtime/interpreter.cpp		Pure monolith split: 465 of 603 lines removed from interpreter.cpp reappear VERBATIM in the new model.cpp. A line/token clone detector that compares the new file's contents against the repo's prior interpreter.cpp state would report a massive cross-file clone, but no code was duplicated — it was relocated (model extraction refactor).
bobjansen/Ibex	c697f2ad96eb4c0e5af57eae69229331bafd12ef	FP	idiom		src/runtime/ops.cpp:15-31		inner_join() and left_join() are identical 6-line wrappers differing only in JoinKind::Inner vs JoinKind::Left passed to runtime::join_tables, plus the throw-on-error boilerplate. A low-threshold token detector flags the pair.
bobjansen/Ibex	d46cacf5bab86f4cab8bf639f5805bbce994e80a	FP	idiom		src/runtime/ops.cpp:26-61		AST builder-factory boilerplate: filter_col/filter_int/filter_dbl/filter_str/filter_arith/filter_cmp/filter_and/filter_or are each a one-to-two-line make_unique<FilterExpr>(FilterExpr{NodeKind{...}}) wrapper. Structurally identical, differing only in node-kind tag and arg list. Detector sees 8 mutually-similar tiny functions.
bobjansen/Ibex	030a73b5b30df0b54d0c792e878df40a0c1d5a35	TP		within-file-chunk	src/runtime/interpreter.cpp:234-285		build_index() per-type ladder: Int/Double/Date/Timestamp branches each repeat get_if<Column<T>>(key); if(col==nullptr) return "...type mismatch"; build_scalar(*col, X_heads_); with only type and heads-map renamed — partial-edited copy-paste
bobjansen/Ibex	030a73b5b30df0b54d0c792e878df40a0c1d5a35	TP		within-file-chunk	src/runtime/interpreter.cpp:341-405		probe_chunk_against_right() second parallel per-type ladder mirroring build_index: same 6 ExprType branches each calling probe_scalar(X_heads_, ...) with renamed map — sibling copy of the build ladder
bobjansen/Ibex	d46cacf5bab86f4cab8bf639f5805bbce994e80a	TP		within-file-chunk	src/runtime/interpreter.cpp:49-83		compare_same_type(): two near-identical blocks for int<->double and double<->int cross-type, each carrying the full 6-case CompareOp switch (Eq/Ne/Lt/Le/Gt/Ge) with only operand order swapped — copy-paste + edit
boydsoftprez/NereusSDR	c62beb3494a5661f0c3f626aab33ecacce17f78a	FP	idiom		src/gui/applets/TunerApplet.cpp:184-187,198-201,230-233,299-308,436-439		Repeated inline Qt stylesheet strings — `m_x->setStyleSheet(QStringLiteral("QPushButton { background: #1a3a5a; border: 1px solid #205070; ... } QPushButton:hover { background: #204060; }"));` recur ~5 times in the file, identical except the colour hex. These multi-line string literals are flagged as repeated chunks.
boydsoftprez/NereusSDR	0bc166acf13f810d7423d4b0065845d9021844ac	FP	data-table		src/gui/setup/DspSetupPages.cpp:40-120 (and AudioSetupPages/DisplaySetupPages/etc.)		47 setup pages built from a repeated 4-line widget-construction unit: `auto* x = new QSpinBox; x->setRange(a,b); x->setSuffix(" ms"); addLabeledSpinner(lay,"Label",x);` (58 such addLabeled* calls in one file). The only thing changing between blocks is the local var name, the range numbers and the label string — i.e. a configuration table flattened into imperative Qt code. Token detector flags it as dense within-file/cross-file dup.
boydsoftprez/NereusSDR	c78ac7259fdbf400be961b5bf9d33de57054f1be	FP	idiom		src/models/RadioModel.cpp:7497-7849		56 TCI Q_INVOKABLE accessor shims added in one block. Almost every getter is the SAME 4-line body `if (const auto* s = sliceAt(rx)) { return s->prop(); } return <default>;` and every setter is `if (auto* s = sliceAt(rx)) { s->setProp(v); }`. Token detector sees dozens of near-identical 3-5 line bodies differing only in the property name (locked/muted/filterLow/agcGain/...) and flags within-file dup — but this is the canonical Qt property-shim idiom, not lifted-and-edited logic.
boydsoftprez/NereusSDR	bc723e09c549657efb1cbc126143897ab3e2cea7	TP		cross-file-chunk	src/gui/containers/meter_property_editors/{Antenna,Band,Mode,Filter,TuneStep,Other,VoiceRecordPlay,Discord}ButtonItemEditor.cpp:1-26		8 button-box editor .cpp files are byte-identical except the class/type token (qobject_cast<XButtonItem>, buildXSpecific) — pure copy-and-rename of the empty-derived-editor skeleton; all 8 carry the same 'adds no extra settable properties' comment
bradhawkins85/ESP32-Uptime-Monitoring-Touch	top	FP	idiom		src/main.cpp (within-file)		ESP32 firmware single sketch: repeated display-draw and setup blocks (near 0.88-0.95). Arduino setup/loop idiom.
brkronheim/RDFAnalyzerCore	2e93293fe5b947cbbb9889102294be606a51d401	FP	data-table		core/bindings/python_bindings.cpp:241-272 (.def("DefineJIT") vs .def("FilterJIT"))		pybind11 registration-таблица: цепочка `.def("X", &Wrapper::X, py::arg(...), R"pbdoc(...)", py::return_value_policy::reference_internal)`. DefineJIT и FilterJIT почти идентичны структурно — отличаются только именем метода и текстом docstring внутри raw-string R"pbdoc(...)". Это декларативная таблица биндингов, а не дублированная логика.
brkronheim/RDFAnalyzerCore	60e634fec811e204b0a622fcb53ad9f38ccc9a86	FP	idiom		core/plugins/JetEnergyScaleManager/JetEnergyScaleManager.cc:193-218 (propagateMET, output MET pT vs MET phi)		Два соседних блока внутри propagateMET имеют идентичный каркас RDataFrame-идиомы: `{ ROOT::RDF::RNode df = dataManager_m->getDataFrame(); auto newDf = df.Define(col, lambda, {tmpCol}); dataManager_m->setDataFrame(newDf); }`. Реально различается лишь тело лямбды (std::sqrt(x*x+y*y) против std::atan2(y,x)) и имя выходной колонки. Совпадает обвязка, а не логика. Детектор ловит каркас как near-copy (line~0.5).
brkronheim/RDFAnalyzerCore	60e634fec811e204b0a622fcb53ad9f38ccc9a86	FP	idiom		core/test/testJetEnergyScaleManager.cc:101-114 (SetJetColumnsWithEmptyPtThrows и семейство ...WithEmptyXThrows)		Кластер GoogleTest-кейсов TEST_F(..., <Name>WithEmptyXThrows) по 3-4 строки: создать mgr, EXPECT_THROW(mgr.setX(""...), std::invalid_argument). Отличаются лишь подставляемым пустым аргументом — это нераскрытый параметризованный тест (по сути TEST_P), а не копипаст содержательной логики.
brkronheim/RDFAnalyzerCore	3b9cfac49f76a3698af325a8ebced3817df43e5b	TP		cross-file-chunk	core/plugins/NDHistogramManagerNew/NDHistogramManager.cc:1-187		Сопутствующий .cc нового модуля — побайтовая копия старого NDHistogramManager.cc (comm -12 = 188/188 строк совпадают, diff пуст). Это whole-file копия авторского, не вендорного, кода: HandleAxisVarVector + BookSingleHistogram перенесены без изменений в форкнутую папку.
brkronheim/RDFAnalyzerCore	3b9cfac49f76a3698af325a8ebced3817df43e5b	TP		cross-file-chunk	core/plugins/NDHistogramManagerNew/NDHistogramManager.h:1-108		В одном коммите автор создал параллельный модуль NDHistogramManagerNew/, скопировав целиком NDHistogramManager.h (98% идентичен оригиналу — отличие лишь в 2 удалённых #include string/vector) и побайтово идентичный .cc (187 строк, diff=0), одновременно правя оригинальный .cc на 202 строки. Классический fork-copy модуля = архитектурный дрейф.
brontoguana/krasis	b01bae6c4849820865136e64b1a53588413bdd18	TP		within-file-chunk	src/cuda/decode_kernels.cu:1437-1546		gated_rmsnorm_silu_bf16 is a near-verbatim copy of gated_rmsnorm_silu (RMSNorm warp-reduction body identical; differs only in BF16 output store). Author's own comment says 'Same as gated_rmsnorm_silu but outputs BF16 directly'.
brontoguana/krasis	f6b0cb7	TP		within-file-chunk	src/cuda/decode_kernels.cu:668-1043		mla_attention_g (~194 lines) is a near-verbatim copy of mla_attention (~183 lines); the whole MLA attention algorithm duplicated, the _g variant only swaps host int seq_len for a device pointer d_seq_len for CUDA-graph capture. Same commit also duplicated mla_kv_cache_write_g vs mla_kv_cache_write.
brooksthemaker/ProtoHUD	db9ef404acde7c84a350e5921f315b9f5ee30bbc	FP	idiom		src/face/particles.cpp:155-410		8 sibling effect classes (Sparkle/Snow/Embers/Confetti/Rings/Rain/Fireflies/Clouds) derive from BaseEffect and each have update(double dt)/render() with the SAME scaffolding: a 'particles_.erase(remove_if...)' decay loop and a 'while((int)particles_.size() < count(N)) { pick_life/pick_color/emit_pos; particles_.push_back(p); }' spawn loop, plus a near-identical 'cv::Mat c = blank(); for(p) draw_particle(c,p,alpha); return c;' render. The shared lines are framework boilerplate of a polymorphic effect family; the actual per-effect physics inside the loops genuinely differs.
brooksthemaker/ProtoHUD	b227dfe4dc2c86c38e8736c9288572ca163680cc	FP	idiom		src/net/bt_monitor.cpp:9-18		BtMonitor/PingMonitor/WifiMonitor/WeatherMonitor each define a thread-lifecycle pair: start(AppState*) { state_=...; running_=true; thread_=std::thread(&X::thread_fn,this); } and stop() { running_=false; if(thread_.joinable()) thread_.join(); }. The stop() bodies are byte-identical and start() differs only by class name and a couple of extra assignments. A cross-file token detector flags these 6-12 line skeletons even though each monitor's scan_devices/thread_fn payload is distinct.
brooksthemaker/ProtoHUD	03c239f74dd217c0b706d9f05e7db43bed462da5	TP		within-file-chunk	src/main.cpp:1314-1390		draw_boop_face_preview lambda is draw_face_preview (main.cpp:1048-1116) copied near-verbatim: identical ~60-line texture-upload/decode body (glGenTextures/glTexImage2D/AddImage + decode-failed fallback), only id swaps face_preview->boop_face_preview, kFaceSlots->kBoopFaceSlots, expr_label->lbl, s.expression->s.file_stem
brunusansi/NanaBox	n/a	FP	idiom		NanaBox/ConfigurationManager.cpp:126-235 vs 723-832		verbatim within w=1.00 на РАЗНЫХ участках: ранний блок — JSON-сериализация конфига (if(!field.empty()) X[k]=field;), поздний — применение настроек через try{Instance->Set(...);}catch(...){fallback}. Совпал повторяющийся каркас (config-mapping + try/catch-настройки), не скопированный код. NanaBox — форк M2Team/NanaBox.
bylins/mud	0d69b796dfb5eb4e65ff0c3dab6af233b9608224	FP	idiom		src/engine/... 824 snprintf(buf, sizeof(buf), "...", ...) sites across 34 files		Bulk replacement of deprecated C string funcs with safe analogs introduced 824 occurrences of the normalized shape 'snprintf(IDENT, sizeof(IDENT), STR, ...)'. With identifier normalization these collapse to one canonical 1-line token sequence repeated everywhere, producing a swarm of cross-file 'clones' that are really one shared safe-string idiom mechanically applied.
bylins/mud	17ac35efe0cc7ce1069e495595712eeb0d2c0aae	FP	idiom		src/engine/.../tracing Span::SetAttribute overloads (also recurs in 5685a54 OtelSpan::SetAttribute 664/670/676)		C++ overload set: SetAttribute(string,string)/(string,int64_t)/(string,double) have byte-identical 3-line bodies 'if (m_span) { m_span->SetAttribute(key, value); }'. After identifier/type normalization the detector sees 3 identical clones, but the bodies are forced to be identical by the overload-forwarding idiom and cannot be deduped without changing the public typed API.
bylins/mud	a49b8e6a8834ab4f8251afc207cc06dc7cc8b70f	TP		within-file-chunk	src/engine/db/sqlite_world_data_source.cpp:1067-1093		LoadRoomTriggers (1067-1093) and LoadMobTriggers (1398-1430) are near-identical: same SQL except entity_type 'room'/'mob', same prepare/step/find-in-vnum_to_rnum/proto_script make_shared/push_back/finalize; only world[] vs mob_proto[] target differs. Same Load* prepare/step/finalize loop body is copy-pasted across the LoadZone*/LoadRoom*/LoadMob*/LoadObject* family.
bylins/mud	c03cce4688245d4763294287db4cea3c88640ba9	TP		cross-file-chunk	src/engine/network/admin_api.cpp:984-2462		Hybrid commit re-implements admin_api_list_mobs/objects/rooms/triggers (+get/update variants) inline in admin_api.cpp duplicating the same handlers that live in crud_handlers.cpp module (admin_api_list_objects vs HandleListObjects are line-for-line the same skeleton with renamed send helpers). Also within-file: the 4 list_* handlers are clones of each other.
bylins/mud	0f93a9addce1ff7a0b28786deaceeef19404b6d9	TP		within-file-chunk	src/engine/network/admin_api/crud_handlers.cpp:186-544		HandleListMobs/HandleListObjects/HandleListRooms/HandleListTriggers are 4 near-identical clones (parse zone_vnum -> GetZoneRnum -> error-check -> iterate proto table -> build json -> push_back -> SendJsonResponse); HandleUpdateZone/Object/Room share the same try/json::parse/catch(parse_error)/catch(exception) skeleton. AI-generated 32-CRUD-handler family, only the per-entity iteration body differs.
chrxh/alien	0066f052f1a1a11a7729310d2278232f646e8a1e	FP	idiom		source/EngineInterface/ShapeGenerator.h:67-87 (vs cpp:334-355) and the generateNextConstructionDataFor* family		ShapeGenerator dispatch is a family of generateNextConstructionDataForSegment/Triangle/Rectangle/Hexagon/Tube/Lolli/Zigzag functions plus getPreferredFrontAngle, each built from the same repeated assignment idiom (result.numAdditionalConnections=...; result.requiredNodeId[i]=...; result.requiredNodeAngle1[i]=...; result.requiredNodeAngle2[i]=...) and parallel switch(shape){case ...: return literal;} blocks. The cross-file hit ShapeGenerator.h:67-87 <- ShapeGenerator.cpp:334-355 (w=0.60 line=0.32) matches two such switch/return literal tables that share structure but encode different geometry constants.
chrxh/alien	a2e905cf2a896c1c81e933dd958354baf2e53d61	FP	whole-file		source/Gui/InspectionWindow.cpp:1-879 (vs deleted source/Gui/InspectorWindow.cpp)		WIP rewrite that adds InspectionWindow.cpp (+879) while deleting InspectorWindow.cpp (-901). The new file is overwhelmingly a renamed copy of the deleted one (InspectorWindow->InspectionWindow). A naive cross-file detector flags this as massive duplication, but it is a file move/rename, not parallel duplicated code (the source no longer exists).
chrxh/alien	2ee06dd37707	FP	idiom		source/PersisterInterface/SerializerService.cpp / ParameterParser encodeDecode call runs		(de)serialization is a long sequence of ParameterParser::encodeDecode(tree, field, default, ".Name", parserTask) calls, one per field. Consecutive lines are near-identical, only field/default/name change. Token n-gram matching sees high overlap between any two windows of these call runs. CORPUS_CHECK_DETAIL already flagged SerializerService.cpp:225-244 <- 122-141 (w=0.97 line=0.50) from this idiom.
chrxh/alien	a812c978d6456b9844bc60f39c70a86f781f2e77	TP		within-file-chunk	source/EngineTests/ConstructorTests.cpp:450-498	407-449	firstCell_gene0_branch2_finished copied from firstCell_gene0_branch1_finished: identical setSimulationData/calcTimesteps/getSimulationData skeleton, edited only numBranches(1)->numBranches(2) and currentBranch literal
chrxh/alien	f36b1859e6288390e89e3440c1396d91635df4e5	TP		within-file-chunk	source/EngineTests/GenomeDescriptionInfoServiceTests.cpp:379-409	356-378	getGenesForCreatureParts_twoNonSeparatingHulls copied from _singleNonSeparatingHull: same GeneDescription().separation(false).nodes({NodeDescription().cellTypeData(ConstructorGenomeDescription().geneIndex(N))}) builder blocks, edited geneIndex/separation/expected vector
ciaranm/glasgow-constraint-solver	d8c7472434f0c98567f9e5995a83daf5b112f4b3	FP	idiom		gcs/constraints/all_equal.cc:1-65		New constraint file repeats the per-constraint class boilerplate shared by ~71 files: identical include preamble, identical 'using std::...' block, the '#if defined(__cpp_lib_print)' print-vs-fmt idiom, and the fixed clone()/install()/prepare()/define_proof_model()/install_propagators()/s_exprify() NVI skeleton. Token/line detector sees a high-weight cross-file match on the scaffolding even though every propagator body is unique.
ciaranm/glasgow-constraint-solver	faa17d1cedfdfa23ddb3dc73387d7c354ce0d4e5	FP	idiom		gcs/constraints/linear/linear_greater_than_equal.cc vs linear_less_than_equal.cc		linear_{greater,less}_than_equal.cc are thin subclass families: each ctor just forwards to ReifiedLinearInequality (greater = negate(coeff)+(-value) of less). The files mirror each other almost line-for-line because they are intentional symmetric delegating wrappers with no real body.
ciaranm/glasgow-constraint-solver	988b6d21cec259b633d29978c680a084cfbcc555	FP	whole-file		gcs/constraints/table/negative_table.cc:1-60		Commit is a directory move (gcs/constraints/{ => table}/table.cc rename, -R in git) plus extraction of negative_table. The shared include/using preamble and the 'depointinate' SFINAE helper (present only in table.cc + negative_table.cc) are genuine carried-over boilerplate from the same family, flagged as cross-file dup. It is a refactor split, not new copied logic.
ciaranm/glasgow-constraint-solver	3063256c664371d694d0948be05e2c95d3b9ebce	FP	idiom		minicp_benchmarks/*/*.cc, examples/*/*.cc main()		removed-boost commit rewrites every example/benchmark main() to the same cxxopts CLI preamble ('cxxopts::ParseResult options_vars; options_vars = options.parse(argc, argv);' plus the standard --help/--prove option set). 36 .cc files share this verbatim argument-parsing block — a project-wide example template, not copy-pasted business logic.
ciaranm/glasgow-constraint-solver	e34ebcb83ced72b34ed00a60db035ba5f72e8de4	TP		within-file-chunk	gcs/constraints/lex.cc:582-606		MustHold vs MustNotHold propagators.install lambdas are near-identical: same capture skeleton + same run_lex_pass(...) call, differing only by gt<->lt flag names and swapped vars_1/vars_2 (negation). AI 'one copied block per reif enum branch' pattern.
ciaranm/glasgow-constraint-solver	e34ebcb83ced72b34ed00a60db035ba5f72e8de4	TP		within-file-chunk	gcs/constraints/lex.cc:620-646		Inside the Undecided branch the same MustHold/MustNotHold run_lex_pass blocks are re-pasted a second time (gt-flags vs lt-flags, vars swapped), duplicating the pair already present in the top-level overloaded visitor.
cmcxn/downloader	top	FP	idiom		cpp_xl_dl_demo/http.h (within); download_helper.cpp vs main.cpp		Demo project: http.h has adjacent overloaded request helpers (0.68), and download_helper.cpp vs main.cpp share a short setup snippet at line=0.26 (very low). Boilerplate/idiom in a demo dir.
cometdom/DirettaRendererUPnP	603a22732efb255c425edd03497338c57e94a676	FP	data-table		src/DirettaOutput.cpp:935-940 (channel switch) and 940-990 (rate/multiplier ladder)		configureDiretta builds a Diretta FormatID by switch(format.channels){case N: formatID|=CHA_N;} plus an if-ladder over sample-rate multipliers (RAT_MP1/2/4/8/16). This case-per-enum mapping mirrors the PCM bit-depth switch a few lines up and any other format-mapping function; it is a constant lookup table expressed as code, not a logic clone.
cometdom/DirettaRendererUPnP	635159b3f879c35921543e79d3d6c152b692ffc9	FP	generated		src/FastMemcpy_Audio.h vs src/FastMemcpy_Audio_AVX512.h (also memcpyfast.h/memcpyfast2.h/memcpyfast_audio.h)		Vendored SIMD memcpy family imported wholesale in one commit. FastMemcpy_Avx.h carries the upstream attribution header (skywind3000@163.com, 2015). The scalar/AVX512 audio variants are intentional per-ISA copies of the same routine (same body, swapped _mm256_/_mm512_ intrinsics + INLINE macro), and memcpyfast*.h are thin re-declares of the same extern symbol. Token-detector sees near-identical bodies across files and across the AVX/AVX512 split.
cometdom/DirettaRendererUPnP	260d60feb3979f148432f4417c32f5b294ef3c28	TP		within-file-chunk	src/DirettaRenderer.cpp:221-262 vs 268-285		format-change-detected block copy-pasted within audio callback: boxed log + Old/Previous-vs-New 4-field dump, identifier connectedFormat→lastFormat renamed (Case1 connected / Case2 after-close)
cschladetsch/CppKAI	a25e5d1f85c4	FP	coincidental		Source/Library/Network/Source/GenerateProxy.cpp vs Source/Library/Language/Tau/Source/Generate/GenerateProxy.cpp		Two files share the basename GenerateProxy.cpp but are unrelated implementations: the Network one is a self-contained regex/std::regex line-scanner ProxyGenerator class; the Tau one is the AST-walking GenerateProcess subclass. A filename- or proximity-biased pairing heuristic could pair them, but the bodies do not actually overlap.
cschladetsch/CppKAI	9dda2c9b0b0e	FP	idiom		Test/Language/TestRho/RhoRecursion*.cpp:6-12 (fixture struct), repeated across RhoRecursionFixTest/RhoRecursionDebugSpecific/RhoElseBranchRecursionTest/RhoRecursionTracingTest/RhoRecursionAnalysis		GoogleTest fixture preamble `struct XxxTest : kai::TestLangCommon { void SetUp() override { TestLangCommon::SetUp(); console_.SetLanguage(kai::Language::Rho); } };` is byte-identical across all sibling test files because the fixture-setup is a mandated idiom, not transplanted logic. The distinctive part (TEST_F bodies) genuinely differs. A token/line chunk detector latches onto the identical SetUp() + identical include block.
cschladetsch/CppKAI	5bacf9da10d0	FP	idiom		Test/Source/TestArray.cpp:7-14 vs Test/Source/TestMap.cpp:9-18 (AddRequiredClasses override)		Both new test files override `void AddRequiredClasses()` with a near-identical `Reg().AddClass<bool>(); Reg().AddClass<int>(); Reg().AddClass<float>(); Reg().AddClass<String>(); ...` registration ladder. This is registration boilerplate driven by the type system, not copied behavior; the divergent tail (Array vs Map/StringStream/BinaryStream) and the test bodies are different.
cschladetsch/CppKAI	a22217f4016e	TP		within-file-chunk	Source/Library/Executor/Source/BinaryOperationHandler.cpp:139-280 (and ExecutorPerform.cpp:909-960)		BinaryOperationHandler::PerformTypedOperation has Plus/Minus/Multiply/Divide cases that are full copy-paste ladders (Int op Int / Float op Float / Float op Int / Int op Float / String / Pathname / Array / ClassBase fallback) with only the Operation enum + Traits<>::Op swapped. ExecutorPerform.cpp repeats the trivial `case Operation::X:{ Object B=Pop(); Object A=Pop(); Push(PerformBinaryOp(A,B,Operation::X)); break;}` block per operator. Both are also lifted from the old PerformBinaryOp.cpp during this monolith split.
cschladetsch/CppKAI	aaced0afcdad	TP		cross-file-chunk	Source/Library/Language/Tau/Source/Generate/GenerateStruct.cpp:21-114		New GenerateStruct sibling class copied wholesale from GenerateProxy/GenerateAgent: Namespace() (the identical `StartBlock("namespace "+...); for(ch) switch(ch->GetType()){Namespace/Class/Struct...}` walk), ctor, Generate(), Property(), Method() arg-loop, ReturnType()/ArgType() are byte-near with only the class name and a few cases swapped. This commit is the ORIGIN; the later 61d4a08 (round1) only re-flagged the same Generate/* family.
csgaokun/vscode_claude	173c9a33	TP		within-file-chunk	qtcreator/hldplugin-src/src/plugins/usermanagementplugin/usermanagementservice.cpp:129-247		Account/Group API mirror by copy-rename within one file: getAccount(129-138) vs getGroup(197-206) identical after Account->Group; allAccountIds/allGroupIds, deleteAccount/deleteGroup (Group adds a back-unbind loop = partial-edited), grantModule/revokeModule share the same id/moduleId validation boilerplate.
csgaokun/vscode_claude	173c9a33	TP		partial-edited	qtcreator/hldplugin-src/src/plugins/usermanagementplugin/usermanagementservice.cpp:76-86 vs 181-196		deleteAccount copied to deleteGroup, then extended with a reverse-unbind loop over m_accounts that clears permissionId. Body otherwise identical -> copy-then-edit.
